,isactive_engaged,isactive_interested,isactive_subscribed,patient_id,greater1
4128,0,1,0,23615.0,1.0
99,0,0,0,2545.0,1.0
6661,0,0,0,35367.0,1.0
1456,1,1,1,8944.0,1.0
7986,0,0,0,43176.0,1.0
812,1,1,1,6457.0,1.0
1092,0,0,0,7538.0,1.0
10073,0,0,0,54434.0,1.0
4977,0,0,0,27537.0,1.0
8570,1,1,0,45957.0,1.0
4453,0,0,0,25331.0,1.0
9289,0,1,0,49696.0,1.0
6720,1,1,1,35663.0,1.0
9608,1,1,0,51496.0,1.0
1414,1,1,1,8735.0,
540,1,1,1,5436.0,1.0
8685,0,0,0,46494.0,1.0
5316,0,1,0,28587.0,1.0
7540,1,1,0,40686.0,1.0
3290,1,1,0,18970.0,1.0
754,1,1,1,6254.0,1.0
4484,0,0,0,25464.0,1.0
4745,0,1,0,26618.0,1.0
4694,0,0,0,26379.0,1.0
9698,0,0,0,51970.0,0.0
3353,0,0,0,19302.0,1.0
2360,0,1,0,14253.0,1.0
4139,1,1,0,23661.0,1.0
3002,0,0,0,17247.0,1.0
6452,1,1,1,34224.0,1.0
9367,1,1,0,50051.0,1.0
8642,0,0,0,46260.0,1.0
5609,0,0,0,29602.0,1.0
6351,1,1,0,33649.0,1.0
8934,0,0,0,47833.0,0.0
4783,0,0,0,26783.0,1.0
601,1,1,1,5757.0,1.0
3095,0,0,0,17726.0,0.0
9090,0,1,0,48686.0,1.0
6909,0,0,0,36851.0,0.0
2545,0,0,0,15233.0,0.0
8309,1,1,0,44743.0,1.0
4419,0,0,0,25082.0,1.0
1044,1,1,1,7385.0,1.0
7616,1,1,0,41072.0,1.0
1557,1,1,1,9436.0,1.0
9192,0,0,0,49155.0,1.0
3787,1,1,1,21530.0,1.0
180,1,1,1,3862.0,1.0
2115,0,0,0,12128.0,0.0
1699,1,1,1,10060.0,1.0
1379,1,1,1,8556.0,1.0
8163,1,1,1,43903.0,1.0
7508,0,0,0,40503.0,1.0
8679,1,1,1,46440.0,1.0
618,1,1,1,5817.0,1.0
6432,1,1,1,34174.0,1.0
10035,0,0,0,54192.0,1.0
1600,0,1,0,9599.0,1.0
6200,0,0,0,32700.0,1.0
1615,1,1,1,9653.0,1.0
8697,0,0,0,46528.0,0.0
438,0,1,0,4937.0,1.0
9802,0,0,0,52513.0,1.0
2083,1,1,1,11923.0,1.0
4469,0,0,0,25367.0,1.0
5613,0,1,0,29621.0,1.0
5326,0,1,0,28603.0,1.0
9076,0,0,0,48567.0,1.0
5098,0,0,0,27924.0,1.0
7075,1,1,0,37991.0,1.0
3151,0,1,0,18093.0,1.0
7109,0,0,0,38173.0,1.0
8490,1,1,0,45604.0,1.0
1918,0,0,0,11047.0,1.0
8486,0,0,0,45596.0,1.0
6213,0,1,0,32759.0,1.0
5601,0,1,0,29571.0,1.0
9752,0,0,0,52238.0,1.0
6590,1,1,1,34918.0,1.0
2054,0,0,0,11707.0,1.0
8977,0,1,0,48010.0,1.0
9384,0,1,0,50130.0,1.0
2362,0,0,0,14258.0,1.0
2225,0,0,0,13185.0,0.0
4562,0,0,0,25892.0,1.0
1126,1,1,1,7620.0,1.0
3686,1,1,1,20924.0,1.0
6840,1,1,1,36386.0,1.0
4003,0,0,0,22716.0,1.0
5130,0,0,0,28042.0,1.0
1322,1,1,1,8358.0,1.0
1603,1,1,1,9616.0,1.0
5735,1,1,0,30014.0,1.0
7709,0,0,0,41545.0,1.0
4502,0,0,0,25601.0,1.0
5272,1,1,0,28475.0,1.0
4773,1,1,1,26720.0,1.0
5196,1,1,0,28237.0,1.0
7647,0,0,0,41204.0,1.0
9518,0,0,0,50949.0,1.0
5830,0,1,0,30464.0,1.0
3952,0,1,0,22443.0,1.0
1559,1,1,1,9441.0,1.0
4862,0,0,0,27023.0,1.0
8498,0,1,0,45650.0,1.0
4058,0,0,0,23151.0,0.0
4048,1,1,1,23046.0,1.0
5641,0,0,0,29760.0,1.0
8539,0,0,0,45801.0,0.0
1354,0,0,0,8450.0,1.0
45,1,1,1,2146.0,1.0
3999,0,0,0,22701.0,1.0
748,0,1,0,6239.0,1.0
5030,0,0,0,27702.0,1.0
4823,0,0,0,26933.0,1.0
5707,0,0,0,29909.0,1.0
8231,0,0,0,44258.0,0.0
4844,0,0,0,26984.0,1.0
3723,1,1,0,21168.0,1.0
5384,0,0,0,28792.0,1.0
6650,0,0,0,35300.0,1.0
2251,1,1,0,13388.0,1.0
7048,0,1,0,37799.0,1.0
2754,0,0,0,16246.0,1.0
5504,0,0,0,29187.0,0.0
9581,1,1,0,51319.0,1.0
9906,0,0,0,53185.0,1.0
2689,1,1,0,15964.0,1.0
5616,0,0,0,29653.0,1.0
9645,1,1,0,51651.0,1.0
4122,0,0,0,23598.0,0.0
9819,0,0,0,52575.0,1.0
5153,0,0,0,28128.0,1.0
664,0,1,0,6025.0,1.0
2771,0,0,0,16304.0,1.0
6824,1,1,0,36271.0,1.0
3955,1,1,1,22472.0,1.0
9780,1,1,0,52382.0,1.0
2820,1,1,1,16518.0,1.0
675,0,0,0,6058.0,1.0
10011,1,1,0,53889.0,1.0
3578,0,1,0,20415.0,1.0
7163,0,1,0,38439.0,1.0
1962,1,1,1,11291.0,1.0
1840,1,1,1,10633.0,1.0
4377,0,1,0,24801.0,1.0
3351,0,0,0,19297.0,1.0
9585,0,1,0,51348.0,1.0
5862,0,1,0,30718.0,1.0
5058,0,0,0,27809.0,1.0
9414,0,1,0,50311.0,1.0
6929,0,1,0,36895.0,1.0
9212,1,1,0,49296.0,1.0
6462,0,0,0,34287.0,1.0
4950,0,1,0,27436.0,1.0
411,0,1,0,4825.0,1.0
613,1,1,1,5810.0,1.0
3006,1,1,0,17261.0,1.0
8696,0,0,0,46527.0,1.0
1430,1,1,0,8811.0,1.0
9065,0,0,0,48489.0,0.0
7765,1,1,0,41882.0,1.0
4115,0,0,0,23525.0,1.0
3649,0,0,0,20768.0,1.0
3128,1,1,0,17937.0,1.0
1417,1,1,1,8766.0,1.0
4291,0,1,0,24426.0,1.0
604,1,1,0,5777.0,1.0
1272,0,0,0,8213.0,1.0
8746,1,1,1,46741.0,1.0
6624,0,0,0,35115.0,1.0
7605,1,1,1,41017.0,1.0
7189,0,0,0,38561.0,1.0
247,0,0,0,4152.0,1.0
8938,0,0,0,47845.0,0.0
1982,0,0,0,11409.0,1.0
9798,1,1,0,52493.0,1.0
7040,1,1,1,37731.0,1.0
199,1,1,1,3983.0,1.0
485,0,1,0,5118.0,1.0
6326,1,1,0,33470.0,1.0
4049,1,1,1,23048.0,1.0
455,1,1,1,4982.0,1.0
9981,0,0,0,53698.0,1.0
8995,1,1,1,48149.0,1.0
10030,0,0,0,54160.0,1.0
1721,0,1,0,10133.0,1.0
5361,0,0,0,28683.0,1.0
4220,1,1,0,24114.0,1.0
8334,1,1,0,44802.0,1.0
5994,0,1,0,31496.0,1.0
6041,1,1,1,31782.0,1.0
5549,0,0,0,29283.0,1.0
862,0,0,0,6665.0,1.0
2094,1,1,1,11977.0,1.0
947,0,0,0,7016.0,0.0
2609,0,0,0,15531.0,1.0
1444,1,1,1,8907.0,1.0
1280,1,1,1,8236.0,1.0
9393,1,1,1,50204.0,1.0
4372,0,0,0,24772.0,
2750,0,0,0,16210.0,1.0
2758,0,0,0,16264.0,1.0
4359,0,0,0,24739.0,1.0
2302,0,0,0,13949.0,0.0
2004,0,0,0,11478.0,1.0
9429,0,0,0,50419.0,1.0
8871,0,0,0,47431.0,0.0
1005,0,1,0,7261.0,1.0
3396,0,1,0,19582.0,1.0
9811,0,0,0,52550.0,1.0
2957,0,0,0,17098.0,0.0
3316,0,0,0,19047.0,1.0
2132,1,1,0,12302.0,1.0
9753,0,0,0,52247.0,1.0
2057,0,0,0,11725.0,0.0
3059,0,1,0,17554.0,1.0
229,1,1,1,4093.0,1.0
8090,1,1,1,43633.0,1.0
4832,0,0,0,26959.0,1.0
10138,0,1,0,54793.0,1.0
2615,0,0,0,15546.0,1.0
9962,0,1,0,53550.0,1.0
8537,1,1,1,45794.0,1.0
209,0,0,0,4041.0,1.0
3433,0,0,0,19693.0,1.0
6129,0,0,0,32252.0,1.0
3172,0,1,0,18275.0,1.0
7393,1,1,0,39826.0,1.0
3934,0,0,0,22324.0,0.0
1728,1,1,1,10173.0,1.0
4332,1,1,1,24636.0,1.0
337,1,1,1,4590.0,1.0
5183,1,1,0,28204.0,1.0
6517,0,0,0,34617.0,1.0
9127,0,1,0,48893.0,1.0
4537,0,1,0,25786.0,1.0
1226,0,0,0,7981.0,0.0
7037,0,1,0,37679.0,1.0
5217,1,1,0,28288.0,1.0
9804,1,1,0,52516.0,1.0
8940,0,1,0,47851.0,1.0
4329,0,0,0,24617.0,1.0
2111,0,0,0,12078.0,1.0
2885,0,0,0,16729.0,0.0
4053,1,1,1,23132.0,1.0
3989,0,0,0,22664.0,1.0
1017,1,1,1,7294.0,1.0
8253,0,0,0,44434.0,1.0
8111,0,0,0,43736.0,1.0
5214,1,1,0,28279.0,1.0
1928,0,0,0,11074.0,1.0
350,1,1,1,4611.0,1.0
2201,0,0,0,12952.0,1.0
6173,1,1,1,32450.0,1.0
1934,0,0,0,11091.0,0.0
7172,0,0,0,38493.0,1.0
5012,0,0,0,27620.0,1.0
5296,1,1,0,28542.0,1.0
564,1,1,1,5558.0,1.0
1582,0,0,0,9541.0,0.0
3827,0,0,0,21735.0,1.0
2175,0,0,0,12663.0,1.0
5070,0,0,0,27831.0,1.0
2540,1,1,1,15224.0,1.0
9006,0,0,0,48258.0,0.0
2228,1,1,0,13225.0,1.0
1115,1,1,0,7598.0,1.0
3382,0,0,0,19498.0,1.0
9828,0,0,0,52624.0,0.0
5250,0,0,0,28416.0,1.0
5743,1,1,0,30049.0,1.0
7762,0,1,0,41827.0,1.0
821,0,0,0,6498.0,1.0
3105,1,1,1,17777.0,1.0
2272,1,1,1,13586.0,1.0
5767,0,0,0,30144.0,1.0
81,0,0,0,2369.0,1.0
1323,0,0,0,8359.0,0.0
4196,0,0,0,23989.0,1.0
1614,0,0,0,9644.0,1.0
831,1,1,1,6534.0,1.0
4715,1,1,0,26484.0,1.0
6634,1,1,0,35210.0,1.0
2420,0,0,0,14669.0,1.0
4634,0,0,0,26224.0,1.0
6363,1,1,1,33717.0,1.0
9095,0,0,0,48713.0,0.0
1649,1,1,1,9866.0,1.0
4233,0,1,0,24161.0,1.0
6321,0,0,0,33441.0,1.0
9055,0,0,0,48457.0,1.0
9039,1,1,1,48413.0,1.0
7662,0,0,0,41232.0,1.0
9262,1,1,0,49559.0,1.0
8303,1,1,1,44728.0,1.0
3857,1,1,1,21949.0,1.0
4002,0,0,0,22712.0,1.0
4174,0,0,0,23876.0,1.0
749,0,0,0,6240.0,0.0
5893,0,0,0,30963.0,1.0
2373,0,1,0,14350.0,1.0
2442,0,1,0,14738.0,1.0
6307,0,0,0,33263.0,1.0
6878,0,0,0,36613.0,1.0
2625,0,0,0,15613.0,1.0
3424,1,1,0,19653.0,1.0
8526,0,0,0,45749.0,1.0
4682,0,1,0,26358.0,1.0
6919,1,1,0,36882.0,1.0
4826,0,0,0,26943.0,1.0
9392,1,1,0,50199.0,1.0
7958,0,0,0,43018.0,1.0
8364,1,1,0,44950.0,1.0
7013,0,1,0,37491.0,1.0
9350,0,1,0,50005.0,1.0
9984,0,1,0,53709.0,1.0
1139,1,1,1,7656.0,1.0
7926,0,0,0,42787.0,1.0
2231,0,1,0,13232.0,1.0
2164,1,1,1,12562.0,1.0
8720,0,0,0,46625.0,1.0
7439,1,1,0,40175.0,1.0
6043,0,0,0,31795.0,1.0
2816,1,1,1,16504.0,1.0
1570,1,1,1,9484.0,1.0
172,0,1,0,3803.0,1.0
7442,0,0,0,40183.0,1.0
2087,0,0,0,11930.0,0.0
5527,0,0,0,29228.0,1.0
5617,0,1,0,29654.0,1.0
7363,0,0,0,39695.0,0.0
7222,0,0,0,38851.0,1.0
4092,0,1,0,23371.0,1.0
4084,1,1,0,23318.0,0.0
1832,1,1,1,10559.0,1.0
5313,1,1,0,28580.0,1.0
3724,0,0,0,21175.0,1.0
9304,0,0,0,49759.0,1.0
9353,0,0,0,50013.0,1.0
8261,1,1,0,44479.0,1.0
5972,1,1,1,31429.0,1.0
5829,0,0,0,30463.0,1.0
834,0,0,0,6537.0,1.0
2486,0,1,0,14977.0,1.0
7089,0,0,0,38069.0,1.0
4067,1,1,0,23194.0,1.0
4710,0,0,0,26437.0,1.0
2955,0,0,0,17088.0,1.0
3772,0,0,0,21408.0,1.0
4656,1,1,0,26276.0,1.0
6625,0,0,0,35117.0,0.0
65,0,0,0,2275.0,1.0
3527,0,0,0,20183.0,1.0
9191,1,1,0,49147.0,1.0
9855,0,0,0,52835.0,1.0
354,0,0,0,4633.0,1.0
8877,0,0,0,47446.0,1.0
4472,0,0,0,25384.0,1.0
8875,0,0,0,47443.0,0.0
3928,1,1,0,22292.0,1.0
9769,0,0,0,52298.0,1.0
6169,0,0,0,32428.0,1.0
4281,0,0,0,24339.0,0.0
8275,1,1,1,44592.0,1.0
4317,0,0,0,24552.0,1.0
3063,1,1,0,17562.0,1.0
472,0,0,0,5040.0,1.0
2697,0,0,0,15999.0,1.0
8827,0,0,0,47163.0,0.0
2676,0,0,0,15931.0,1.0
5427,1,1,0,28968.0,1.0
868,1,1,1,6701.0,1.0
6032,0,0,0,31717.0,1.0
7568,0,0,0,40778.0,1.0
1506,1,1,1,9217.0,1.0
5365,0,0,0,28695.0,1.0
8876,0,0,0,47444.0,1.0
6244,0,0,0,32911.0,1.0
4094,1,1,1,23387.0,1.0
9505,0,1,0,50846.0,1.0
5866,0,0,0,30747.0,1.0
5461,0,0,0,29062.0,1.0
4074,0,1,0,23226.0,1.0
1075,0,0,0,7496.0,1.0
9487,1,1,0,50717.0,1.0
4140,0,0,0,23662.0,1.0
7017,1,1,0,37531.0,1.0
4475,1,1,1,25393.0,1.0
9831,0,0,0,52641.0,0.0
7571,0,0,0,40782.0,0.0
3997,1,1,1,22696.0,1.0
7297,0,1,0,39323.0,1.0
6138,0,1,0,32299.0,1.0
7440,0,1,0,40179.0,1.0
73,0,1,0,2298.0,1.0
4216,0,1,0,24099.0,1.0
7900,0,0,0,42672.0,0.0
4833,0,1,0,26962.0,1.0
6961,1,1,1,37188.0,1.0
4730,0,0,0,26553.0,1.0
1101,1,1,1,7563.0,1.0
6557,1,1,0,34803.0,1.0
9717,0,0,0,52070.0,1.0
7952,0,0,0,42939.0,1.0
5945,0,0,0,31248.0,1.0
4918,1,1,0,27296.0,1.0
118,1,1,1,2643.0,1.0
2022,0,1,0,11537.0,1.0
10070,0,1,0,54405.0,1.0
2742,0,0,0,16179.0,1.0
2034,0,0,0,11576.0,0.0
2751,0,0,0,16215.0,1.0
8832,0,1,0,47228.0,1.0
3946,1,1,0,22424.0,1.0
1219,0,0,0,7959.0,1.0
6571,1,1,0,34838.0,1.0
4721,0,0,0,26510.0,0.0
6861,1,1,0,36433.0,1.0
3060,0,1,0,17557.0,1.0
2510,0,0,0,15067.0,1.0
8206,0,0,0,44174.0,0.0
6360,1,1,0,33704.0,1.0
9689,1,1,0,51924.0,1.0
8421,0,0,0,45245.0,1.0
2956,0,0,0,17091.0,1.0
3465,0,0,0,19822.0,1.0
177,1,1,1,3850.0,1.0
1643,1,1,1,9840.0,1.0
10117,0,0,0,54637.0,0.0
3034,1,1,0,17349.0,1.0
10151,0,1,0,54869.0,1.0
1374,1,1,1,8535.0,1.0
1720,0,0,0,10132.0,1.0
4367,0,0,0,24753.0,1.0
4540,0,0,0,25800.0,1.0
2264,0,1,0,13484.0,1.0
87,0,0,0,2470.0,1.0
3057,1,1,1,17547.0,1.0
8854,0,0,0,47308.0,1.0
403,0,0,0,4810.0,1.0
4245,0,1,0,24202.0,1.0
8242,1,1,0,44346.0,1.0
7104,0,1,0,38163.0,1.0
6798,0,0,0,36139.0,1.0
2456,0,1,0,14803.0,1.0
3235,0,0,0,18633.0,1.0
2214,0,1,0,13082.0,1.0
1027,0,0,0,7323.0,1.0
9884,0,0,0,53073.0,1.0
1421,1,1,1,8781.0,1.0
2436,0,1,0,14730.0,1.0
4222,1,1,1,24133.0,1.0
8284,0,0,0,44640.0,
9260,0,0,0,49555.0,1.0
1278,1,1,1,8233.0,1.0
6940,1,1,1,36992.0,1.0
5812,0,1,0,30416.0,1.0
5267,0,0,0,28463.0,1.0
6860,1,1,0,36430.0,1.0
1978,0,0,0,11389.0,1.0
1061,1,1,1,7451.0,1.0
1425,0,0,0,8794.0,1.0
4707,0,0,0,26415.0,1.0
7265,1,1,0,39133.0,1.0
6647,0,1,0,35287.0,1.0
1502,0,0,0,9186.0,1.0
8733,0,0,0,46694.0,1.0
2919,0,1,0,16897.0,1.0
5466,0,0,0,29070.0,1.0
9174,0,0,0,49007.0,0.0
5114,0,1,0,27985.0,1.0
678,0,0,0,6065.0,1.0
6189,0,1,0,32614.0,1.0
3045,0,0,0,17448.0,1.0
6120,0,0,0,32163.0,1.0
7859,0,0,0,42426.0,1.0
102,1,1,1,2552.0,1.0
957,1,1,1,7076.0,1.0
4593,0,1,0,26074.0,1.0
4071,1,1,1,23208.0,1.0
5918,1,1,0,31027.0,1.0
7452,0,0,0,40240.0,1.0
5816,0,0,0,30434.0,1.0
2688,0,0,0,15963.0,1.0
2840,1,1,0,16602.0,0.0
6239,1,1,1,32882.0,1.0
7497,1,1,0,40443.0,1.0
6121,0,0,0,32167.0,1.0
3107,0,0,0,17806.0,1.0
6630,0,0,0,35129.0,0.0
418,1,1,1,4856.0,1.0
5028,0,1,0,27697.0,1.0
4292,1,1,0,24428.0,1.0
7559,0,0,0,40747.0,1.0
1947,0,0,0,11164.0,1.0
3914,0,0,0,22221.0,1.0
2299,1,1,0,13934.0,1.0
8614,1,1,0,46197.0,1.0
4549,0,0,0,25822.0,1.0
7107,1,1,0,38167.0,1.0
3145,1,1,0,18038.0,1.0
7337,0,1,0,39518.0,1.0
4454,0,0,0,25334.0,1.0
528,1,1,1,5351.0,1.0
1233,1,1,0,8047.0,1.0
779,1,1,0,6345.0,1.0
722,1,1,1,6164.0,1.0
3410,0,0,0,19617.0,1.0
5454,0,0,0,29049.0,1.0
1860,0,0,0,10701.0,0.0
8620,1,1,1,46219.0,1.0
9443,0,0,0,50505.0,1.0
3012,1,1,0,17291.0,1.0
8939,0,0,0,47850.0,1.0
1992,0,1,0,11437.0,1.0
9264,0,0,0,49572.0,1.0
6884,1,1,0,36656.0,1.0
7518,1,1,0,40576.0,1.0
5518,1,1,1,29210.0,1.0
7081,0,0,0,38016.0,1.0
2991,0,1,0,17209.0,1.0
2471,1,1,0,14943.0,1.0
8517,1,1,0,45723.0,1.0
3274,0,0,0,18919.0,1.0
4879,0,0,0,27100.0,1.0
1396,0,1,0,8645.0,1.0
1489,1,1,1,9115.0,1.0
6134,0,0,0,32266.0,1.0
3485,1,1,0,19939.0,1.0
1042,1,1,1,7377.0,1.0
